,ZZEX_TREND_PERIOD1,ZZEX_TREND_PERIOD2,ZZEX_TREND_ENTITY,ZZEX_TREND_ID,ZZEX_TREND_RISK_ID,ZZEX_TREND_RISK_T_P1,ZZEX_TREND_RISK_T_P2,ZZEX_TREND_RISK_STATUS_P1,ZZEX_TREND_RISK_STATUS_P2,ZZEX_TREND_RISK_CHANGE_BY_P1,ZZEX_TREND_RISK_CHANGE_BY_P2,ZZEX_TREND_RISK_CHANGE_ON_P1,ZZEX_TREND_RISK_CHANGE_ON_P2,ZZEX_TREND_REP_CONTROL_ID_P1,ZZEX_TREND_REP_CONTROL_ID_P2,ZZEX_TREND_REFCRISK_P1,ZZEX_TREND_REFCRISK_P2,ZZEX_TREND_DISTRIB_METHOD_P1,ZZEX_TREND_DISTRIB_METHOD_P2,ZZEX_TREND_DISTRIB_T_METHOD_P1,ZZEX_TREND_DISTRIB_T_METHOD_P2,ZZEX_TREND_RISK_IS_LOCAL_P1,ZZEX_TREND_ORG_P1,ZZEX_TREND_ORG_P2,ZZEX_TREND_ORG_T_P1,ZZEX_TREND_ORG_T_P2,ZZEX_TREND_PARENT_OBJTYPE_P1,ZZEX_TREND_PARENT_OBJTYPE_P2,ZZEX_TREND_RISK_OWN_P1,ZZEX_TREND_RISK_OWN_P2,ZZEX_TREND_RISK_TYPE_P1,ZZEX_TREND_RISK_TYPE_P2,ZZEX_TREND_RISK_TYPE_T_P1,ZZEX_TREND_RISK_TYPE_T_P2,ZZEX_TREND_RISK_VALID_FROM_P1,ZZEX_TREND_RISK_VALID_FROM_P2,ZZEX_TREND_RISK_VALID_TO_P1,ZZEX_TREND_RISK_VALID_TO_P2,ZZEX_TREND_ANA_INH_IML_P1,ZZEX_TREND_ANA_INH_IML_P2,ZZEX_TREND_ANA_INH_IML_T_P1,ZZEX_TREND_ANA_INH_IML_T_P2,ZZEX_TREND_ANA_INH_IMS_P1,ZZEX_TREND_ANA_INH_IMS_P2,ZZEX_TREND_ANA_INH_PRB_P1,ZZEX_TREND_ANA_INH_PRB_P2,ZZEX_TREND_ANA_INH_PRL_P1,ZZEX_TREND_ANA_INH_PRL_P2,ZZEX_TREND_ANA_INH_PRL_T_P1,ZZEX_TREND_ANA_INH_PRL_T_P2,ZZEX_TREND_ANA_INH_PRS_P1,ZZEX_TREND_ANA_INH_PRS_P2,ZZEX_TREND_ANA_INH_RSL_P1,ZZEX_TREND_ANA_INH_RSL_P2,ZZEX_TREND_ANA_INH_RSL_T_P1,ZZEX_TREND_ANA_INH_RSL_T_P2,ZZEX_TREND_ANA_INH_RSS_P1,ZZEX_TREND_ANA_INH_RSS_P2,ZZEX_TREND_ANA_RSA_IML_P1,ZZEX_TREND_ANA_RSA_IML_P2,ZZEX_TREND_ANA_RSA_IML_T_P1,ZZEX_TREND_ANA_RSA_IML_T_P2,ZZEX_TREND_ANA_RSA_IMS_P1,ZZEX_TREND_ANA_RSA_IMS_P2,ZZEX_TREND_ANA_RSA_PRB_P1,ZZEX_TREND_ANA_RSA_PRB_P2,ZZEX_TREND_ANA_RSA_PRL_P1,ZZEX_TREND_ANA_RSA_PRL_P2,ZZEX_TREND_ANA_RSA_PRL_T_P1,ZZEX_TREND_ANA_RSA_PRL_T_P2,ZZEX_TREND_ANA_RSA_PRS_P1,ZZEX_TREND_ANA_RSA_PRS_P2,ZZEX_TREND_ANA_RSA_RSL_P1,ZZEX_TREND_ANA_RSA_RSL_P2,ZZEX_TREND_ANA_RSA_RSL_T_P1,ZZEX_TREND_ANA_RSA_RSL_T_P2,ZZEX_TREND_ANA_RSA_RSS_P1,ZZEX_TREND_ANA_RSA_RSS_P2,ZZEX_TREND_ANA_RSP_IML_P1,ZZEX_TREND_ANA_RSP_IML_P2,ZZEX_TREND_ANA_RSP_IML_T_P1,ZZEX_TREND_ANA_RSP_IML_T_P2,ZZEX_TREND_ANA_RSP_IMS_P1,ZZEX_TREND_ANA_RSP_IMS_P2,ZZEX_TREND_ANA_RSP_PRB_P1,ZZEX_TREND_ANA_RSP_PRB_P2,ZZEX_TREND_ANA_RSP_PRL_P1,ZZEX_TREND_ANA_RSP_PRL_P2,ZZEX_TREND_ANA_RSP_PRL_T_P1,ZZEX_TREND_ANA_RSP_PRL_T_P2,ZZEX_TREND_ANA_RSP_PRS_P1,ZZEX_TREND_ANA_RSP_PRS_P2,ZZEX_TREND_ANA_RSP_RSL_P1,ZZEX_TREND_ANA_RSP_RSL_P2,ZZEX_TREND_ANA_RSP_RSL_T_P1,ZZEX_TREND_ANA_RSP_RSL_T_P2,ZZEX_TREND_ANA_RSP_RSS_T_P1,ZZEX_TREND_ANA_RSP_RSS_T_P2,ZZEX_TREND_RISK_RISK_LEVEL_P1,ZZEX_TREND_RISK_RISK_LEVEL_P2,ZZEX_TREND_RISK_RISK_LEVEL_TP1,ZZEX_TREND_RISK_RISK_LEVEL_TP2,ODQ_CHANGEMODE,ODQ_ENTITYCNTR,LOAD_DATE
10,1/01/2021,1/07/2021,RS,,50002050,Occupational diseases,Occupational diseases,Active,Active,20046082,20046082,31/03/2017,31/03/2017,,,50000831,50000831,X,X,Copy,Copy,X,50005751,50005751,,,ORGUNIT,ORGUNIT,7558694,7558694,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,1,1,Insignificant,Insignificant,10,10,20,20,20,20,Unlikely,Unlikely,0.2,0.2,L,L,Low,Low,2,2,1,1,Insignificant,Insignificant,10,10,9,9,9,9,Rare,Rare,0.09,0.09,L,L,Low,Low,0.9,0.9,1,1,Insignificant,Insignificant,10,10,8.8,8.8,8,8,Rare,,0.088,0.088,L,L,Low,Low,0.88,0.88,L,L,Low,Low,,0,59:03.4
11,1/01/2021,1/07/2021,RS,,50002051,Contracting HIV/AIDS,Contracting HIV/AIDS,Active,Active,20046082,20046082,31/03/2017,31/03/2017,,,50000829,50000829,X,X,Copy,Copy,X,50005751,50005751,,,ORGUNIT,ORGUNIT,7558694,7558694,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,2,2,Minor,Minor,30,30,60,60,60,60,Possible,Possible,0.6,0.6,M,M,Medium,Medium,18,18,2,2,Minor,Minor,30,30,50,50,50,50,Possible,Possible,0.5,0.5,M,M,Medium,Medium,15,15,2,2,Minor,Minor,30,30,49.4,49.4,49,49,Possible,,0.494,0.494,M,M,Medium,Medium,14.82,14.82,M,M,Medium,Medium,,0,59:03.4
12,1/01/2021,1/07/2021,RS,,50002056,Labour unrest,Labour unrest,Active,Active,20046082,20046082,14/07/2021,14/07/2021,,,50000843,50000843,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20114556,20114556,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,95,95,95,75,95,75,Almost Certain,Likely,0.95,0.75,VH,VH,Very High,Very High,90.25,71.25,5,5,Catastrophic,Catastrophic,95,95,78,58,78,58,Likely,Possible,0.78,0.58,VH,VH,Very High,Very High,74.1,55.1,5,5,Catastrophic,Catastrophic,95,95,76.5,56.5,76,56,Possible,,0.765,0.565,VH,VH,Very High,Very High,72.675,53.675,VH,VH,Very High,Very High,,0,59:03.4
13,1/01/2021,1/07/2021,RS,,50002060,Infrastructure collapse,Infrastructure collapse,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50000853,50000853,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20104552,20104552,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,4,4,Major,Major,70,70,60,60,60,60,Possible,Possible,0.6,0.6,VH,VH,Very High,Very High,42,42,2,2,Minor,Minor,31,31,16.5,16.5,16,16,Unlikely,Unlikely,0.165,0.165,L,L,Low,Low,5.115,5.115,2,2,Minor,Minor,31,31,14.5,14.5,14,14,Unlikely,,0.145,0.145,L,L,Low,Low,4.495,4.495,L,L,Low,Low,,0,59:03.4
14,1/01/2021,1/07/2021,RS,,50002062,"Plant, property and equipment fire","Plant, property and equipment fire",Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50000855,50000855,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20104552,20104552,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,85,85,85,85,85,85,Almost Certain,Almost Certain,0.85,0.85,VH,VH,Very High,Very High,72.25,72.25,2,2,Minor,Minor,32.5,32.5,53,53,53,53,Possible,Possible,0.53,0.53,M,M,Medium,Medium,17.225,17.225,2,2,Minor,Minor,26.5,26.5,34,34,34,34,Unlikely,,0.34,0.34,L,L,Low,Low,9.01,9.01,M,M,Medium,Medium,,0,59:03.4
15,1/01/2021,1/07/2021,RS,,50002066,Non-compliance to social and labour plan,Non-compliance to social and labour plan,Active,Active,20046082,20046082,2/02/2021,2/02/2021,,,50001972,50001972,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20115768,20115768,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,90,90,70,70,70,70,Likely,Likely,0.7,0.7,VH,VH,Very High,Very High,63,63,5,5,Catastrophic,Catastrophic,90,90,43.8,43.8,43,43,Possible,Possible,0.438,0.438,VH,VH,Very High,Very High,39.42,39.42,5,5,Catastrophic,Catastrophic,90,90,25.55,25.55,25,25,Unlikely,,0.2555,0.2555,VH,VH,Very High,Very High,22.995,22.995,VH,VH,Very High,Very High,,0,59:03.4
16,1/01/2021,1/07/2021,RS,,50002067,Non-compliance to mining charter targets,Non-compliance to mining charter targets,Active,Active,20046082,20046082,24/05/2019,24/05/2019,,,50001971,50001971,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,7558694,7558694,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,90,90,93,93,93,93,Almost Certain,Almost Certain,0.93,0.93,VH,VH,Very High,Very High,83.7,83.7,5,5,Catastrophic,Catastrophic,90,90,53.25,53.25,53,53,Possible,Possible,0.5325,0.5325,VH,VH,Very High,Very High,47.925,47.925,5,5,Catastrophic,Catastrophic,90,90,37.5,37.5,37,37,Possible,,0.375,0.375,VH,VH,Very High,Very High,33.75,33.75,VH,VH,Very High,Very High,,0,59:03.4
17,1/01/2021,1/07/2021,RS,,50002073,Decrease in yields linked to reserves,Decrease in yields linked to reserves,Active,Active,20046082,20046082,22/06/2020,22/06/2020,,,50001990,50001990,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20032764,20032764,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,4,4,Major,Major,80,80,95,95,95,95,Almost Certain,Almost Certain,0.95,0.95,VH,VH,Very High,Very High,76,76,4,4,Major,Major,65,65,73.4,73.4,73,73,Likely,Likely,0.734,0.734,VH,VH,Very High,Very High,47.71,47.71,4,4,Major,Major,63.5,63.5,67,67,67,67,Likely,,0.67,0.67,VH,VH,Very High,Very High,42.545,42.545,VH,VH,Very High,Very High,,0,59:03.4
18,1/01/2021,1/07/2021,RS,,50002081,Physical damage to property,Physical damage to property,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50002020,50002020,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,20101813,20101813,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,3,3,Moderate,Moderate,59,59,85,85,85,85,Almost Certain,Almost Certain,0.85,0.85,VH,VH,Very High,Very High,50.15,50.15,3,3,Moderate,Moderate,50.5,50.5,49.5,49.5,49,49,Possible,Possible,0.495,0.495,H,H,High,High,24.9975,24.9975,3,3,Moderate,Moderate,50.5,50.5,48,48,48,48,Possible,,0.48,0.48,H,H,High,High,24.24,24.24,H,H,High,High,,0,59:03.4
19,1/01/2021,1/07/2021,RS,,50002082,Unauthorised plant and mine access,Unauthorised plant and mine access,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50002021,50002021,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,71459,71459,0BOWTIE,0BOWTIE,Operational,,6/03/2013,6/03/2013,31/12/9999,31/12/9999,4,5,Major,Catastrophic,80,85,95,95,95,95,Almost Certain,Almost Certain,0.95,0.95,VH,VH,Very High,Very High,76,80.75,4,4,Major,Major,72,77,50.25,55.9,50,55,Possible,Possible,0.5025,0.559,VH,VH,Very High,Very High,36.18,43.043,4,4,Major,Major,71.5,76.5,46.75,52.9,46,52,Possible,,0.4675,0.529,VH,VH,Very High,Very High,33.42625,40.4685,VH,VH,Very High,Very High,,0,59:03.4
20,1/01/2021,1/07/2021,RS,,50002265,Labour unrest,Labour unrest,Active,Active,20046082,20046082,7/07/2021,7/07/2021,,,50002264,50002264,X,X,Copy,Copy,X,50000961,50000961,,,ORGUNIT,ORGUNIT,9254792,9254792,0BOWTIE,0BOWTIE,Operational,,9/05/2013,9/05/2013,31/12/9999,31/12/9999,4,4,Major,Major,80,80,90,85,90,85,Almost Certain,Almost Certain,0.9,0.85,VH,VH,Very High,Very High,72,68,4,4,Major,Major,80,80,57,57.55,57,57,Possible,Possible,0.57,0.5755,VH,VH,Very High,Very High,45.6,46.04,4,4,Major,Major,80,80,47.3,53.85,47,53,Possible,,0.473,0.5385,VH,VH,Very High,Very High,37.84,43.08,VH,VH,Very High,Very High,,0,59:03.4
21,1/01/2021,1/07/2021,RS,,50002270,Loss of social licence to operate,Loss of social licence to operate,Active,Active,20046082,20046082,7/07/2021,7/07/2021,,,50002172,50002172,X,X,Copy,Copy,X,50000961,50000961,,,ORGUNIT,ORGUNIT,20075398,20075398,0BOWTIE,0BOWTIE,Operational,,10/05/2013,10/05/2013,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,95,95,95,95,95,95,Almost Certain,Almost Certain,0.95,0.95,VH,VH,Very High,Very High,90.25,90.25,4,4,Major,Major,79.75,79.75,50.9,50.9,50,50,Possible,Possible,0.509,0.509,VH,VH,Very High,Very High,40.59275,40.59275,4,4,Major,Major,73.25,73.25,31.6,31.6,31,31,Unlikely,,0.316,0.316,H,H,High,High,23.147,23.147,VH,VH,Very High,Very High,,0,59:03.4
